,White,Black,Asian,Hispanic
White,0.007290909090909091,0.002671212121212121,0.00582668793195109,0.0040472370766488405
Black,0.002671212121212121,0.06052272727272726,0.0035645933014354066,0.004338235294117646
Asian,0.00582668793195109,0.0035645933014354066,0.007801001706818883,0.003960659223817119
Hispanic,0.0040472370766488405,0.004338235294117646,0.003960659223817119,0.016016567054629338
