,White,Black,Asian,Hispanic
White,0.0105573585084335,0.0018673815248707447,0.008797793050862866,0.004531022141719954
Black,0.0018673815248707447,0.01491024035307449,0.002278161434883947,0.00241872252479597
Asian,0.008797793050862866,0.002278161434883947,0.015403732116208742,0.0044260294976400305
Hispanic,0.004531022141719954,0.00241872252479597,0.0044260294976400305,0.01160259990616992
