,White,Black,Asian,Hispanic
White,0.6070481142349262,0.11596439269447324,0.4198746733524303,0.27095512407485334
Black,0.11596439269447324,1.0,0.11742327483822328,0.15621077554142296
Asian,0.4198746733524303,0.11742327483822328,0.6101687856542316,0.21968154808586526
Hispanic,0.27095512407485334,0.15621077554142296,0.21968154808586526,0.7215888933645197
